files,AVA,Jest
1,134.73800000000000000000,135.71900000000000000000
2,195.08400000000000000000,200.58800000000000000000
4,138.93650000000000000000,139.27450000000000000000
8,69.53325000000000000000,73.98925000000000000000
16,37.77906250000000000000,39.60812500000000000000
32,22.34325000000000000000,24.34437500000000000000
64,14.62634375000000000000,15.83429687500000000000
128,8.06695312500000000000,8.05542187500000000000
256,4.67807031250000000000,7.24246093750000000000
512,3.13617773437500000000,4.36254882812500000000
1024,1.69567089843750000000,1.91494726562500000000
